,Model,Accuracy,Precision,Recall,F1,BalancedAcc,BusinessValue,Threshold,Split,BestParams
0,DecisionTree,0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,84375,0.0,Original,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 2}"
1,DecisionTree,0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,84375,0.0,SMOTE,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}"
2,DecisionTree,0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,84375,0.0,SMOTE_ENN,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}"
3,DecisionTree,0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,84375,0.0,SMOTE_Tomek,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}"
4,DecisionTree,0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,84375,0.0,Over,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}"
5,DecisionTree,0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,84375,0.0,Under,"{'ccp_alpha': 0.001, 'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}"
0,RandomForest,0.13239459415715787,0.1145359887612594,0.9956896551724138,0.20543985770399467,0.5092447363869365,84425,0.01,Original,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
1,RandomForest,0.11523832645464109,0.11294117647058824,1.0,0.2029598308668076,0.5014591883264934,84535,0.01,SMOTE,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
2,RandomForest,0.1574815893825362,0.11709263819308822,0.9906609195402298,0.2094312400334118,0.5211854529301696,84610,0.03,SMOTE_ENN,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
3,RandomForest,0.11693776806668285,0.11313394018205461,1.0,0.20327102803738317,0.5024167806657547,84640,0.01,SMOTE_Tomek,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
